Name,Email Address,Nickname,Home Address,Password,Salt,Birthdate,Phone Number,Store ID,Gender,Account Type,Branch
MÅRLON JORDAN,MÅRLONJORDAN477@ISLANDSHOP.NET,mår66,"55 St. Philip, St. Philip, Barbados",$8v[kK$[><,vf08WpRt,1969-04-05,246-225-1757,1250,Female,Staff,Bridgetown
Renée Harewood  ,bad space@domain.com,ren99,"127 Country Road, St. Philip, Barbados",ZFs@_an2Cw,Z9SHDdJp,1962-08-05,246-675-9702,1572,Other,Premium,Wildey
José Springer,joséspringer910@caribmail.com,jos24,"94 Country Road, St. Philip, Barbados",7<fUUw?*{i,JTXnivpI,1962-11-16,246-794-4437,1771,Other,Standard,Speightstown
Malik Alleyne,malikalleyne516@islandshop.net,mal45,"17 Atlantic Shores, St. Philip, Barbados",VS5!#&p8{',R0I5sCNx,2006-11-23,246-267-4085,1913,Female,Standard,Bridgetown
Jamal Griffith,jamalgriffith296@caribmail.com,jam23,"71 Maxwell Hill, St. Philip, Barbados","o`s""tA%=cL",ARI7iEwA,1983-12-21,246-221-5776,1193,Male,Standard,Oistins
José Jordan,joséjordan422@tridenttreats.bb,jos93,"202 St. Philip, St. Philip, Barbados",P!.\`&)46M,Ki5YtkYq,1969-08-12,246-495-1775,1151,Female,Premium,Wildey
Andre Griffith,andregriffith729@tridenttreats.bb,and33,"215 Maxwell Hill, St. Philip, Barbados","{_\tuEofO,",iCqxlnJT,1957-11-11,246-552-3423,1381,Female,Staff,Oistins
François Browne,françoisbrowne125@caribmail.com,fra61,"197 Bay Street, St. Philip, Barbados",s6Ota(#Q?{,sE5s8WKQ,1964-10-24,246-652-6549,1705,Male,Staff,Wildey
Shanice Callender,shanicecallender695@caribmail.com,sha49,"103 Atlantic Shores, St. Philip, Barbados",<C5TlPh:?y,LHoY7Xrm,1956-02-18,246-656-2431,1999,Other,Premium,Oistins
Zoë Jordan,zoëjordan618@caribmail.com,zoë95,"102 Bank Hall, St. Philip, Barbados",s|2VXVbKSS,tC3JfnU4,1983-12-14,246-653-5728,1167,Other,Premium,Wildey
Rashida Holder,rashidaholder148@bdsconnect.bb,ras48,"223 Bay Street, St. Philip, Barbados",&Qi.Wla0>I,AlJDTKW6,1963-04-06,246-590-5742,1567,Female,Standard,Speightstown
Mårlon Browne,mårlonbrowne506@islandshop.net,mår38,"203 Atlantic Shores, St. Philip, Barbados",atHM>>8p@\,5sAlF6SP,1970-01-04,246-483-9078,1993,Male,Staff,Speightstown
Mårlon Toppin,mårlontoppin580@islandshop.net,mår43,"176 St. Philip, St. Philip, Barbados","8_pV$~,cHu",LdjuD4Si,1977-03-02,246-479-6917,1429,Other,Premium,Bridgetown
Omar Browne,omarbrowne543@caribmail.com,oma75,"197 Grazettes Main Road, St. Philip, Barbados",=xm/v(PO^M,rRSSxgIL,1977-03-01,246-340-9489,1288,Female,Premium,Wildey
Keisha Griffith,keishagriffith105@bdsconnect.bb,kei29,"57 Two Mile Hill, St. Philip, Barbados",y*;_&'|)`o,AD6eh0i7,1956-08-12,246-519-6940,1142,Female,Staff,Six Roads
Keisha Griffith,keishagriffith727@tridenttreats.bb,kei13,"209 St. George, St. Philip, Barbados",pCq_s_DNqA,ifBSWYhe,1956-08-25,246-641-1696,1201,Male,Standard,Six Roads
Mårlon Clarke,mårlonclarke481@caribmail.com,mår42,"17 Atlantic Shores, St. Philip, Barbados",M\bmp:A.zx,Qwbfj2V8,1972-10-12,246-560-3630,1875,Other,Staff,Six Roads
Devin Holder,devinholder102@caribmail.com,,,,,,,,,,
Alicia Brathwaite,aliciabrathwaite780@tridenttreats.bb,,,,,,,,,,
Tanya Holder,tanyaholder917@islandshop.net,tan96,"46 Bank Hall, St. Philip, Barbados",b]!]nY4%[],fhjzzSLg,2002-03-03,246-572-4261,1346,Male,Staff,Wildey
Kendra Hinds,kendrahinds859@islandshop.net,ken73,"196 Deacons Road, St. Philip, Barbados",|-.I?ZT8\:,8zFGrjXD,1961-02-09,246-701-9147,1236,Other,Standard,Bridgetown
Kendra Clarke,kendraclarke851@caribmail.com,ken73,"7 St. Philip, St. Philip, Barbados",wW:]PtM<<m,WeQWHXFY,1984-04-10,246-877-9157,1502,Other,Premium,Six Roads
